Iteration 99 : 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2399 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2499 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2599 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2699 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2799 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2899 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
sample 60 	 MSE: 9.90 	 SSIM: 0.00 
sample 61 	 MSE: 12.30 	 SSIM: 0.00 
sample 62 	 MSE: 9.19 	 SSIM: 0.00 
sample 63 	 MSE: 6.21 	 SSIM: 0.00 
Iteration 2999 : 
sample 0 	 MSE: 4.69 	 SSIM: 0.00 
sample 1 	 MSE: 15.13 	 SSIM: 0.00 
sample 2 	 MSE: 8.71 	 SSIM: 0.00 
sample 3 	 MSE: 10.82 	 SSIM: 0.00 
sample 4 	 MSE: 5.09 	 SSIM: 0.00 
sample 5 	 MSE: 8.49 	 SSIM: 0.00 
sample 6 	 MSE: 11.54 	 SSIM: 0.00 
sample 7 	 MSE: 5.14 	 SSIM: 0.00 
sample 8 	 MSE: 8.60 	 SSIM: 0.00 
sample 9 	 MSE: 6.88 	 SSIM: 0.00 
sample 10 	 MSE: 8.24 	 SSIM: 0.00 
sample 11 	 MSE: 9.95 	 SSIM: 0.00 
sample 12 	 MSE: 15.00 	 SSIM: 0.00 
sample 13 	 MSE: 9.83 	 SSIM: 0.00 
sample 14 	 MSE: 11.31 	 SSIM: 0.00 
sample 15 	 MSE: 10.32 	 SSIM: 0.00 
sample 16 	 MSE: 12.27 	 SSIM: 0.00 
sample 17 	 MSE: 9.77 	 SSIM: 0.00 
sample 18 	 MSE: 8.71 	 SSIM: 0.00 
sample 19 	 MSE: 9.73 	 SSIM: 0.00 
sample 20 	 MSE: 4.41 	 SSIM: 0.00 
sample 21 	 MSE: 5.84 	 SSIM: 0.00 
sample 22 	 MSE: 14.90 	 SSIM: 0.00 
sample 23 	 MSE: 11.17 	 SSIM: 0.00 
sample 24 	 MSE: 9.61 	 SSIM: 0.00 
sample 25 	 MSE: 10.28 	 SSIM: 0.00 
sample 26 	 MSE: 4.34 	 SSIM: 0.00 
sample 27 	 MSE: 9.87 	 SSIM: 0.00 
sample 28 	 MSE: 4.34 	 SSIM: 0.00 
sample 29 	 MSE: 15.94 	 SSIM: 0.00 
sample 30 	 MSE: 9.77 	 SSIM: 0.00 
sample 31 	 MSE: 18.38 	 SSIM: 0.00 
sample 32 	 MSE: 5.43 	 SSIM: 0.00 
sample 33 	 MSE: 9.97 	 SSIM: 0.00 
sample 34 	 MSE: 14.90 	 SSIM: 0.00 
sample 35 	 MSE: 4.30 	 SSIM: 0.00 
sample 36 	 MSE: 9.60 	 SSIM: 0.00 
sample 37 	 MSE: 6.65 	 SSIM: 0.00 
sample 38 	 MSE: 6.99 	 SSIM: 0.00 
sample 39 	 MSE: 8.49 	 SSIM: 0.00 
sample 40 	 MSE: 10.82 	 SSIM: 0.00 
sample 41 	 MSE: 4.24 	 SSIM: 0.00 
sample 42 	 MSE: 9.26 	 SSIM: 0.00 
sample 43 	 MSE: 4.29 	 SSIM: 0.00 
sample 44 	 MSE: 10.41 	 SSIM: 0.00 
sample 45 	 MSE: 9.35 	 SSIM: 0.00 
sample 46 	 MSE: 19.63 	 SSIM: 0.00 
sample 47 	 MSE: 11.06 	 SSIM: 0.00 
sample 48 	 MSE: 6.01 	 SSIM: 0.00 
sample 49 	 MSE: 11.94 	 SSIM: 0.00 
sample 50 	 MSE: 4.65 	 SSIM: 0.00 
sample 51 	 MSE: 10.41 	 SSIM: 0.00 
sample 52 	 MSE: 4.40 	 SSIM: 0.00 
sample 53 	 MSE: 10.31 	 SSIM: 0.00 
sample 54 	 MSE: 14.91 	 SSIM: 0.00 
sample 55 	 MSE: 5.85 	 SSIM: 0.00 
sample 56 	 MSE: 4.30 	 SSIM: 0.00 
sample 57 	 MSE: 9.67 	 SSIM: 0.00 
sample 58 	 MSE: 16.68 	 SSIM: 0.00 
sample 59 	 MSE: 4.62 	 SSIM: 0.00 
